C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
83.502,1.48774,83.51,1.30288,83.522,0.826792
84.002,1.49081,84.01,1.31029,84.022,0.836064
84.502,1.49223,84.51,1.31834,84.522,0.847323
85.002,1.49458,85.01,1.32589,85.022,0.857835
85.502,1.49608,85.51,1.33351,85.522,0.867584
86.002,1.49857,86.01,1.34149,86.022,0.878359
86.502,1.50007,86.51,1.34918,86.522,0.889483
87.002,1.50242,87.01,1.35666,87.022,0.900607
87.502,1.50334,87.51,1.3645,87.522,0.91062
88.002,1.50591,88.01,1.37205,88.022,0.921722
88.502,1.50776,88.51,1.37975,88.522,0.931393
89.002,1.50947,89.01,1.38758,89.022,0.942375
89.502,1.51097,89.51,1.39528,89.522,0.953484
90.002,1.51303,90.01,1.40276,90.022,0.964281
90.502,1.51474,90.51,1.41073,90.522,0.974692
91.002,1.51681,91.01,1.41821,91.022,0.984798
91.502,1.51738,91.51,1.42577,91.521,0.996007
92.002,1.51987,92.01,1.43389,92.021,1.00622
92.502,1.52165,92.51,1.44137,92.521,1.01627
93.002,1.52315,93.01,1.44899,93.021,1.02664
93.502,1.52415,93.51,1.45704,93.522,1.0375
94.002,1.52614,94.01,1.46438,94.021,1.04817
94.502,1.52778,94.51,1.47193,94.521,1.05896
95.002,1.52999,95.01,1.47984,95.021,1.06964
95.502,1.53127,95.51,1.4876,95.522,1.07968
96.002,1.53269,96.01,1.49522,96.022,1.09049
96.502,1.5344,96.51,1.50313,96.521,1.10058
97.002,1.53626,97.01,1.51075,97.022,1.11196
97.502,1.53697,97.51,1.51859,97.522,1.12205
98.002,1.53882,98.01,1.52607,98.021,1.13338
98.502,1.54003,98.51,1.53355,98.522,1.14309
99.002,1.54181,99.01,1.54139,99.021,1.15453
99.502,1.54302,99.51,1.54922,99.521,1.16472
100.002,1.54473,100.01,1.55692,100.022,1.17558
100.502,1.54552,100.51,1.56489,100.521,1.1863
101.002,1.54758,101.01,1.57237,101.021,1.19756
101.502,1.54822,101.51,1.57985,101.535,1.20977
102.002,1.55036,102.01,1.58741,102.018,1.22031
102.502,1.55157,102.511,1.59538,102.519,1.23178
103.002,1.55278,103.01,1.60308,103.018,1.24119
103.502,1.55364,103.51,1.61099,103.518,1.25237
104.002,1.55556,104.01,1.61868,104.018,1.2632
104.502,1.55649,104.51,1.62609,104.518,1.27517
105.002,1.55798,105.01,1.63364,105.018,1.285
105.502,1.55855,105.51,1.64155,105.518,1.29668
106.002,1.56012,106.01,1.6491,106.018,1.30715
106.502,1.56197,106.51,1.65701,106.518,1.31869
107.002,1.56261,107.01,1.6647,107.018,1.33002
107.502,1.56326,107.51,1.67232,107.518,1.34099
108.002,1.56518,108.01,1.68009,108.018,1.35175
108.502,1.56589,108.51,1.68764,108.518,1.36279
109.002,1.56774,109.01,1.69526,109.018,1.37383
109.502,1.56803,109.511,1.70317,109.519,1.38423
110.002,1.56952,110.01,1.71086,110.018,1.39535
